Date,Open,High,Low,Close ,Adj Close ,Volume
17-Dec-19,155.45,155.71,154.45,154.69,148.25,"25,425,600"
16-Dec-19,155.11,155.9,154.82,155.53,149.06,"24,144,200"
13-Dec-19,153,154.89,152.83,154.53,148.1,"23,845,400"
12-Dec-19,151.65,153.44,151.02,153.24,146.87,"24,612,100"
11-Dec-19,151.54,151.87,150.33,151.7,145.39,"18,856,600"
10-Dec-19,151.29,151.89,150.76,151.13,144.84,"16,476,100"
9-Dec-19,151.07,152.21,150.91,151.36,145.06,"16,687,400"
6-Dec-19,150.99,151.87,150.27,151.75,145.44,"16,403,500"
5-Dec-19,150.05,150.32,149.48,149.93,143.69,"17,869,100"
4-Dec-19,150.14,150.18,149.2,149.85,143.62,"17,574,700"
3-Dec-19,147.49,149.43,146.65,149.31,143.1,"24,066,000"
2-Dec-19,151.81,151.83,148.32,149.55,143.33,"27,418,400"
29-Nov-19,152.1,152.3,151.28,151.38,145.08,"11,977,300"
27-Nov-19,152.33,152.5,151.52,152.32,145.98,"15,184,400"
26-Nov-19,151.36,152.42,151.32,152.03,145.71,"24,620,100"
25-Nov-19,150,151.35,149.92,151.23,144.94,"22,420,900"
22-Nov-19,150.07,150.3,148.82,149.59,143.37,"15,901,800"
21-Nov-19,149.4,149.8,148.5,149.48,143.26,"18,576,100"
20-Nov-19,0.51 Dividend,,,,,
20-Nov-19,150.31,150.84,148.46,149.62,143.4,"25,696,800"
19-Nov-19,150.88,151.33,150.2,150.39,143.64,"23,935,700"
18-Nov-19,150.07,150.55,148.98,150.34,143.6,"21,534,000"
15-Nov-19,148.93,149.99,148.27,149.97,143.24,"23,485,700"
14-Nov-19,147.02,148.41,147,148.06,141.42,"19,729,800"
13-Nov-19,146.74,147.46,146.28,147.31,140.7,"16,919,200"
12-Nov-19,146.28,147.57,146.06,147.07,140.47,"18,641,600"
11-Nov-19,145.34,146.42,144.73,146.11,139.56,"14,362,600"
8-Nov-19,143.98,145.99,143.76,145.96,139.41,"16,732,700"
7-Nov-19,143.84,144.88,143.77,144.26,137.79,"17,786,700"
6-Nov-19,144.37,144.52,143.2,144.06,137.6,"16,575,800"
5-Nov-19,144.97,145.02,143.91,144.46,137.98,"18,250,200"
4-Nov-19,144.83,145,144.16,144.55,138.07,"16,912,000"
1-Nov-19,144.26,144.42,142.97,143.72,137.27,"33,128,400"
31-Oct-19,144.9,144.93,142.99,143.37,136.94,"24,605,100"
30-Oct-19,143.52,145,142.79,144.61,138.12,"18,496,600"
29-Oct-19,144.08,144.5,142.65,142.83,136.42,"20,589,500"
28-Oct-19,144.4,145.67,143.51,144.19,137.72,"35,280,100"
25-Oct-19,139.34,141.14,139.2,140.73,134.42,"25,959,700"
24-Oct-19,139.39,140.42,138.67,139.94,133.66,"37,029,300"
23-Oct-19,136.88,137.45,135.61,137.24,131.08,"29,844,600"
22-Oct-19,138.97,140.01,136.26,136.37,130.25,"27,431,000"
21-Oct-19,138.45,138.5,137.01,138.43,132.22,"20,078,200"
18-Oct-19,139.76,140,136.56,137.41,131.25,"32,273,500"
17-Oct-19,140.95,141.42,139.02,139.69,133.42,"21,460,600"
16-Oct-19,140.79,140.99,139.53,140.41,134.11,"20,751,600"
15-Oct-19,140.06,141.79,139.81,141.57,135.22,"19,695,700"
14-Oct-19,139.69,140.29,139.52,139.55,133.29,"13,304,300"
11-Oct-19,140.12,141.03,139.5,139.68,133.42,"25,446,000"
10-Oct-19,138.49,139.67,138.25,139.1,132.86,"17,654,600"
9-Oct-19,137.46,138.7,136.97,138.24,132.04,"19,749,900"
8-Oct-19,137.08,137.76,135.62,135.67,129.59,"25,550,500"
7-Oct-19,137.14,138.18,137.02,137.12,130.97,"15,303,700"
4-Oct-19,136.75,138.25,136.42,138.12,131.93,"22,897,700"
3-Oct-19,134.95,136.75,133.22,136.28,130.17,"24,132,900"
2-Oct-19,136.25,136.37,133.58,134.65,128.61,"30,521,700"
1-Oct-19,139.66,140.25,137,137.07,130.92,"21,466,600"
30-Sep-19,138.05,139.22,137.78,139.03,132.79,"17,280,900"
27-Sep-19,140.15,140.36,136.65,137.73,131.55,"22,477,700"
26-Sep-19,139.44,140.18,138.44,139.54,133.28,"17,456,600"
25-Sep-19,137.5,139.96,136.03,139.36,133.11,"21,382,000"
24-Sep-19,140.36,140.69,136.88,137.38,131.22,"29,773,200"
23-Sep-19,139.23,139.63,138.44,139.14,132.9,"17,139,300"
20-Sep-19,141.01,141.65,138.25,139.44,133.19,"39,167,300"
19-Sep-19,140.3,142.37,140.07,141.07,134.74,"35,772,100"
18-Sep-19,137.36,138.67,136.53,138.52,132.31,"23,982,100"
17-Sep-19,136.96,137.52,136.43,137.39,131.23,"17,814,200"
16-Sep-19,135.83,136.7,135.66,136.33,130.22,"16,731,400"
13-Sep-19,137.78,138.06,136.57,137.32,131.16,"23,363,100"
12-Sep-19,137.85,138.42,136.87,137.52,131.35,"27,010,000"
11-Sep-19,135.91,136.27,135.09,136.12,130.01,"24,726,100"
10-Sep-19,136.8,136.89,134.51,136.08,129.98,"28,903,400"
9-Sep-19,139.59,139.75,136.46,137.52,131.35,"25,773,900"
6-Sep-19,140.03,140.18,138.2,139.1,132.86,"20,824,500"
5-Sep-19,139.11,140.38,138.76,140.05,133.77,"26,101,800"
4-Sep-19,137.3,137.69,136.48,137.63,131.46,"17,995,900"
3-Sep-19,136.61,137.2,135.7,136.04,129.94,"18,869,300"
30-Aug-19,139.15,139.18,136.27,137.86,131.68,"23,940,100"
29-Aug-19,137.25,138.44,136.91,138.12,131.93,"20,168,700"
28-Aug-19,134.88,135.76,133.55,135.56,129.48,"17,393,300"
27-Aug-19,136.39,136.72,134.66,135.74,129.65,"23,102,100"
26-Aug-19,134.99,135.56,133.9,135.45,129.38,"20,312,600"
23-Aug-19,137.19,138.35,132.8,133.39,127.41,"38,508,600"
22-Aug-19,138.66,139.2,136.29,137.78,131.6,"18,697,000"
21-Aug-19,138.55,139.49,138,138.79,132.57,"14,970,300"
20-Aug-19,138.21,138.71,137.24,137.26,131.1,"21,170,800"
19-Aug-19,137.85,138.55,136.89,138.41,132.2,"24,355,700"
16-Aug-19,134.88,136.46,134.72,136.13,130.02,"24,449,100"
15-Aug-19,134.39,134.58,132.25,133.68,127.68,"28,074,400"
14-Aug-19,0.46 Dividend,,,,,
14-Aug-19,136.36,136.92,133.67,133.98,127.97,"32,527,300"
13-Aug-19,136.05,138.8,135,138.6,131.94,"25,154,600"
12-Aug-19,137.07,137.86,135.24,135.79,129.27,"20,484,300"
9-Aug-19,138.61,139.38,136.46,137.71,131.1,"23,466,700"
8-Aug-19,136.6,138.99,135.93,138.89,132.22,"27,496,500"
7-Aug-19,133.79,135.65,131.83,135.28,128.78,"33,414,500"
6-Aug-19,133.8,135.68,133.21,134.69,128.22,"32,696,700"
5-Aug-19,133.3,133.93,130.78,132.21,125.86,"42,749,600"
2-Aug-19,138.09,138.32,135.26,136.9,130.33,"30,791,600"
1-Aug-19,137,140.94,136.93,138.06,131.43,"40,557,500"
31-Jul-19,140.33,140.49,135.08,136.27,129.73,"38,598,800"
30-Jul-19,140.14,141.22,139.8,140.35,133.61,"16,846,500"
29-Jul-19,141.5,141.51,139.37,141.03,134.26,"16,605,900"
26-Jul-19,140.37,141.68,140.3,141.34,134.55,"19,037,600"
25-Jul-19,140.43,140.61,139.32,140.19,133.46,"18,356,900"
24-Jul-19,138.9,140.74,138.85,140.72,133.96,"20,738,300"
23-Jul-19,139.76,139.99,138.03,139.29,132.6,"18,034,600"
22-Jul-19,137.41,139.19,137.33,138.43,131.78,"25,074,900"
19-Jul-19,140.22,140.67,136.45,136.62,130.06,"48,992,400"
18-Jul-19,135.55,136.62,134.67,136.42,129.87,"30,381,800"
17-Jul-19,137.7,137.93,136.22,136.27,129.73,"20,211,000"
16-Jul-19,138.96,139.05,136.52,137.08,130.5,"22,726,100"
15-Jul-19,139.44,139.54,138.46,138.9,132.23,"16,651,500"
12-Jul-19,138.85,139.13,138.01,138.9,132.23,"18,936,800"
11-Jul-19,138.2,139.22,137.87,138.4,131.75,"22,327,900"
10-Jul-19,137.13,138.58,137.02,137.85,131.23,"24,204,400"
9-Jul-19,136,136.97,135.8,136.46,129.91,"19,953,100"
8-Jul-19,136.4,137.1,135.37,136.96,130.38,"16,779,700"
5-Jul-19,135.94,137.33,135.72,137.06,130.48,"18,141,100"
3-Jul-19,136.8,137.74,136.29,137.46,130.86,"13,629,300"
2-Jul-19,136.12,136.59,135.34,136.58,130.02,"15,237,800"
1-Jul-19,136.63,136.7,134.97,135.68,129.16,"22,613,500"
